"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2978","adds one item, checks out to completion","SMOKE","Tue Nov 04 15:05:04 UTC 2025","passed","Tue Nov 04 15:05:07 UTC 2025","","Checkout","",""
"","2162","logs in and lands on inventory with core UI visible","SMOKE","Tue Nov 04 15:04:56 UTC 2025","passed","Tue Nov 04 15:04:58 UTC 2025","","Auth","",""
